jy,jm,h,bench,old_top10,old_top10_exc,old_top20,old_top20_exc,new_top10,new_top10_exc,new_top20,new_top20_exc
1402,1,6,-0.10648993490915491,-0.19570407317586186,-0.08921413826670695,-0.13041226698985847,-0.02392233208070356,-0.14519607967522644,-0.038706144766071524,-0.08562380772986275,0.020866127179292163
1402,2,3,-0.14346415053235728,-0.17001790048139206,-0.026553749949034783,-0.1642362282200996,-0.020772077687742307,-0.15744202983934225,-0.013977879306984964,-0.13272222766163366,0.01074192287072362
1402,2,6,-0.10822136099419759,-0.1312895867293192,-0.023068225735121614,-0.11176838650712981,-0.00354702551293222,-0.151285551491832,-0.04306419049763442,-0.09663898330497515,0.011582377689222434
1402,3,3,-0.024859917392906716,-0.07177300154431951,-0.04691308415141279,-0.06741914420600745,-0.04255922681310073,-0.06963039382196122,-0.044770476429054504,-0.04146731251629382,-0.016607395123387103
1402,3,6,0.007884360495084335,-0.032715635463742176,-0.04059999595882651,-0.03185505256670819,-0.039739413061792524,-0.05716735461326335,-0.06505171510834769,0.010058136243864734,0.0021737757487804
1402,4,3,-0.017693474101741373,-0.060593294611338236,-0.04289982050959686,-0.015125286068212295,0.002568188033529078,-0.05602397058043217,-0.038330496478690794,-0.03688612721105753,-0.019192653109316157
1402,4,6,0.04190863950182263,0.04765961551751709,0.0057509760156944575,0.07223341211970885,0.03032477261788622,0.0499379813831027,0.008029341881280072,0.03359622874434766,-0.008312410757474971
1402,5,3,0.04182447225677848,0.04524520908420443,0.003420736827425948,0.04545040120593152,0.0036259289491530414,0.03900508370847403,-0.0028193885483044495,0.03515830378261662,-0.006666168474161863
1402,5,6,0.09517602787495162,0.11643127019308515,0.021255242318133527,0.11777405188644904,0.022598024011497422,0.09931446485969822,0.004138436984746599,0.13016683425795417,0.034990806383002546
1402,6,3,0.03189742890265691,0.04766291066781728,0.01576548176516037,0.046536260198882996,0.014638831296226083,0.023202001156495688,-0.008695427746161225,0.05714341234218375,0.025245983439526838
1402,6,6,0.03683209441078254,0.08579295754593083,0.04896086313514829,0.06778491588783947,0.030952821477056927,0.054588710516845516,0.017756616106062974,0.10395639095071059,0.06712429653992805
1402,7,3,0.06019645013731298,0.07221906512036702,0.012022614983054042,0.08871534679920334,0.028518896661890364,0.11329818102685026,0.05310173088953728,0.09583340992388091,0.03563695978656793
1402,7,6,0.059275167800870235,0.02484587325288906,-0.034429294547981174,0.0548537592184443,-0.0044214085824259355,0.06256445849067292,0.0032892906898026875,0.07792471445852926,0.018649546657659027
1402,8,3,0.0487148292353992,0.026555978729734343,-0.022158850505664858,0.05452229147940783,0.005807462244008632,0.03437514706504946,-0.01433968217034974,0.05716271912152959,0.008447889886130391
1402,8,6,0.0049018573879333486,-0.008784448589748228,-0.013686305977681577,-0.016976150764925334,-0.02187800815285868,0.007414246580649431,0.002512389192716082,-0.01481735421314941,-0.019719211601082757
1402,9,3,0.0042337981441058796,0.0076476708265777685,0.003413872682471889,0.02912840185171276,0.02489460370760688,0.0011248679278790363,-0.003108930216226843,0.03273982842053406,0.028506030276428177
1402,9,6,-0.10409490949167957,-0.06758707996484142,0.03650782952683815,-0.0622923220220874,0.04180258746959217,-0.06738985957515166,0.03670504991652791,-0.05052526227837154,0.05356964721330803
1402,10,3,-0.0016669911192327518,-0.026373172759279372,-0.02470618164004662,0.01611302119230021,0.01778001231153296,-0.013864416809219359,-0.012197425689986607,0.016644795163402466,0.018311786282635217
1402,10,6,-0.016803317766224735,0.06628627298833309,0.08308959075455782,0.08111781339240584,0.09792113115863058,0.08115019243306217,0.0979535101992869,0.08082959504129801,0.09763291280752275
1402,11,3,-0.040724856310754835,-0.024094868530773174,0.01662998777998166,-0.0038137216070921244,0.03691113470366271,0.03538060156591496,0.0761054578766698,0.015761755159876628,0.05648661147063146
