jy,jm,factor,ic
1402,10,cr,0.38095238095238104
1402,10,cc,0.5868455973269637
1402,10,pb,-0.5345224838248488
1402,10,om12,0.9642857142857144
1402,10,nm12,0.5085995176833685
1402,10,ic,-0.45175395145262565
1402,10,eq,-0.28571428571428575
1402,10,score_v1,0.28571428571428575
1402,10,score_v2,0.30952380952380953
1402,11,roe,-0.19047619047619052
1402,11,lev,-0.523809523809524
1402,11,cr,0.4761904761904762
1402,11,cc,-0.2380952380952381
1402,11,pb,0.6666666666666669
1402,11,om12,0.38095238095238104
1402,11,nm12,0.523809523809524
1402,11,ic,0.2
1402,11,eq,0.1666666666666667
1402,11,score_v1,0.4761904761904762
1402,11,score_v2,0.4285714285714286
1402,12,roe,-0.07142857142857144
1402,12,lev,-0.3571428571428572
1402,12,cr,0.261904761904762
1402,12,cc,-0.04761904761904763
1402,12,pb,0.5476190476190477
1402,12,om12,0.3333333333333334
1402,12,nm12,0.2380952380952381
1402,12,ic,0.3142857142857143
1402,12,eq,0.0
1402,12,score_v1,0.8333333333333335
1402,12,score_v2,0.7142857142857144
1403,1,roe,0.07142857142857144
1403,1,lev,-0.04761904761904763
1403,1,cr,-0.09523809523809526
1403,1,cc,0.4047619047619048
1403,1,pb,-0.2380952380952381
1403,1,om12,0.0
1403,1,nm12,-0.523809523809524
1403,1,ic,0.3430386928528455
1403,1,eq,-0.3571428571428572
1403,1,score_v1,0.6428571428571429
1403,1,score_v2,0.6428571428571429
1403,2,lev,0.04761904761904763
1403,2,cr,-0.07142857142857144
1403,2,ic,0.2530683376780054
1403,2,eq,-0.6190476190476191
1403,2,score_v1,0.6666666666666669
1403,2,score_v2,0.7380952380952381
1403,3,lev,0.19047619047619052
1403,3,cr,-0.19047619047619052
1403,3,ic,0.32135684799324177
1403,3,eq,-0.4761904761904762
1403,3,score_v1,0.7619047619047621
1403,3,score_v2,0.7619047619047621
1403,4,lev,0.4523809523809524
1403,4,cr,-0.11904761904761905
1403,4,ic,-0.014285714285714277
1403,4,eq,-0.4047619047619048
1403,4,score_v1,0.261904761904762
1403,4,score_v2,0.1666666666666667
1403,5,roe,-0.11904761904761905
1403,5,lev,0.38095238095238104
1403,5,cr,-0.4047619047619048
1403,5,cc,0.1666666666666667
1403,5,pb,-0.4285714285714286
1403,5,om12,0.07142857142857144
1403,5,nm12,0.19047619047619052
1403,5,ic,0.6
1403,5,eq,-0.4761904761904762
1403,5,score_v1,0.09523809523809526
1403,5,score_v2,0.09523809523809526
1403,6,roe,-0.261904761904762
1403,6,lev,0.4285714285714286
1403,6,cr,-0.5952380952380953
1403,6,cc,0.523809523809524
