jy,jm,h,bench,score_v1_top5,score_v1_top5_exc,score_v2_top5,score_v2_top5_exc
1400,4,6,-0.3097541566982099,-0.195120853350019,0.11463330334819088,-0.195120853350019,0.11463330334819088
1400,5,3,-0.18682971013013636,-0.14234183089463134,0.04448787923550501,-0.14234183089463134,0.04448787923550501
1400,5,6,-0.3410852740152158,-0.2956587870989883,0.045426486916227526,-0.42336903083573973,-0.08228375682052391
1400,6,3,-0.28768322970559346,-0.2747281872902553,0.01295504241533818,-0.2747281872902553,0.01295504241533818
1400,6,6,-0.2607006061752485,-0.20494543124545336,0.05575517492979512,-0.20494543124545336,0.05575517492979512
1400,7,3,-0.23314737695323667,-0.19453636053443207,0.0386110164188046,-0.19453636053443207,0.0386110164188046
1400,7,6,-0.09225767011160382,-0.0659512525077129,0.026306417603890922,-0.0659512525077129,0.026306417603890922
1400,8,3,-0.22693661691675018,-0.2149313033622951,0.012005313554455083,-0.20339730158888267,0.023539315327867516
1400,8,6,0.09023087018298842,0.12682953797699698,0.036598667794008555,0.12495040285660948,0.03471953267362106
1400,9,3,0.02860854929252679,0.11835449615021598,0.08974594685768919,0.11835449615021598,0.08974594685768919
1400,9,6,0.2663476731385086,0.3590871718892009,0.09273949875069232,0.3590871718892009,0.09273949875069232
1400,10,3,0.18019103564017122,0.2278903960345561,0.04769936039438488,0.2278903960345561,0.04769936039438488
1400,10,6,0.21445927624661154,0.28608917487125246,0.07162989862464092,0.28608917487125246,0.07162989862464092
1400,11,3,0.43414579517928387,0.47735325967465025,0.04320746449536639,0.49417943410655435,0.06003363892727048
1400,11,6,0.29364826532611255,0.3416826941284394,0.048034428802326834,0.3756702504556955,0.08202198512958297
1400,12,3,0.2293173324492311,0.21964482401775007,-0.009672508431481042,0.20735762062564783,-0.021959711823583278
1400,12,6,0.20606708723153377,0.22185670280528927,0.015789615573755494,0.21628578814436245,0.010218700912828671
1401,1,3,0.024868903546625257,0.08853321163522483,0.06366430808859957,0.08853321163522483,0.06366430808859957
1401,1,6,0.005882050008633788,0.13696770257460628,0.1310856525659725,0.13696770257460628,0.1310856525659725
1401,2,3,-0.10036687057158834,-0.040439310700719246,0.0599275598708691,-0.040439310700719246,0.0599275598708691
