jy,jm,cid,symbol,sg12,sg3,rg,opg,npg,om,nm,mt,ic,eq,pe,ps,liq,stability,vol,mom,growth_s,prof_s,val_s,mkt_s,dq,score,ttm_np,pe_invalid,fwd3,fwd6,fwd12
1403,3,dfe07aa2c9a5a27265431f60ae868b8c,فسپا,30.458558979742946,-34.1467209174227,,0.0,45.812090313182814,,,,,,0.8941058941058941,,0.0,0.7588668647836925,1.370948763290101,-7.2058061171591525,15.146375025689817,6.5,8.615384615384617,8.91549295774648,1.0,39.177252598820914,7807800000.0,False,0.22290502793296207,0.5201117318435771,0.12849162011173187
1403,3,e4f51cddab83abe24e70280c9f7240b3,قلرست,114.93807450218125,164.0553415380517,,,,,,,,,,,0.0,-0.4371639424155067,1.655422024643179,-15.37672988211174,19.676178812002448,6.5,0.0,5.479753521126761,0.845,26.74926282149418,,True,0.2990107005855036,0.3299010700585516,0.5836866545527974
1403,3,e60b29bf5ce7f167ddc4039487210d2f,سشرق,48.0086240534723,2.993149949161733,,0.0,-45.0199203187251,,,,,,14.844202898550725,,0.0,0.878858858410571,1.5575203654942567,-11.683552489760729,15.08486896693942,6.5,1.1538461538461542,8.953638497652582,1.0,31.692353618438155,732382560.0,False,0.010983646570660976,0.47791066634122514,1.4915792042958276
1403,3,e6f5fb278dab95af4b0dede9cbdd4f34,کحافظ,36.32935924467133,15.510517752464125,,0.0,62.167033511354084,,,,,,1.6031746031746033,,0.0,0.8330028854063194,1.6885267914728581,-14.406779661016945,20.469465081174235,6.5,7.461538461538462,7.845070422535211,1.0,42.2760739652479,5577711678.0,False,0.16501650165016435,0.4323432343234319,0.776677667766775
1403,3,efb86e9938a9c7351b51280587d898dc,رانفور,45.997747978142996,-8.217792910510068,,0.0,5.099150141643059,,,,,,8.460916442048518,,0.0,0.8808432602181395,1.275302621230884,11.708185053380781,15.728311970149724,6.5,2.0769230769230775,11.266725352112676,1.0,35.57196039918548,13356000000.0,False,-0.18222363810130604,0.059573112456196675,0.1573749601784009
1403,3,efbd08e291c09108c086ad170e7026ef,کگل,20.86972911124412,-8.835358373535895,,0.0,33.42145483084803,,,,,,2.5869281045751635,,0.0,0.8735505791801439,1.201946192827811,-11.572832886505813,13.663410042112464,6.5,5.923076923076923,9.97417840375587,0.975,35.159148734721626,290700000000.0,False,-0.11622031328954063,0.136937847397675,-0.14502273875694938
1403,3,f014eb1a1c5399dfedbc5d53791ad9ac,شپدیس,-0.9281317762432573,17.155143440370168,,0.0,-16.116374236224004,,,,,,0.1723469660518578,,0.0,0.831541443787693,1.1701255786489244,-11.099620820406752,10.846118943743592,6.5,9.923076923076923,9.823650234741784,1.0,37.0928461015623,89784000000.0,False,0.38270647537805313,0.7673516867002703,1.2687088018611847
1403,3,f165f6d8af88d6563894b42f26df2b45,حسینا,125.12897695647337,29.042713354000504,,0.0,178.09239940387482,,,,,,1.555198285101822,,0.0,0.804042764691588,2.0955639237014583,3.8406488549618256,26.67592651115067,6.5,7.615384615384615,8.319835680751174,1.0,49.11114680728646,13967670564.0,False,0.4437169767976119,0.5987824488858275,0.6422007810705266
1403,3,f204dcb930e5f3c8891436b434ca7ef8,شغدیر,14.235824225370507,-7.812260775506363,,0.0,-39.24352046890741,,,,,,8.431263189629183,,0.0,0.7710143280143752,1.2830825438503133,-15.226056775640739,9.697192446684825,6.5,2.153846153846154,8.208333333333334,1.0,26.559371933864313,8624200000.0,False,-0.24928038903688277,-0.039976400336115936,-0.2684998122753999
1403,3,f26e919a7e723cb5fb35be3a34b11035,کمنگنز,53.60131774593353,12.522451942441592,,0.0,23.20469875648144,,,,,,4.696927374301676,,0.0,0.6020846614017226,1.0241124275193247,-20.421202082347378,19.621425592595862,6.5,4.0,6.921654929577465,1.0,37.04308052217333,2148000000.0,False,0.0014867677668737311,0.25691347011596544,-0.07790663098424211
1403,3,f785e696c04d1a51b6e88f62deefacb3,فایرا,39.466033466421436,-17.815918924718154,,25.249831328872464,32.42361986368122,,,,,,5.699453551912568,,0.0,0.6915745999939222,1.7900226280356597,-4.003681546249426,19.796835656474038,6.5,3.0000000000000004,7.303697183098591,1.0,36.60053283957263,36600000000.0,False,-0.04578139980824547,0.034995206136145374,0.03283796740172584
1403,3,fa2e3267b28da291dc990ba6910786d0,جم پیلن,7.390896745055042,-8.575760306970615,,0.0,33.775287892934955,,,,,,5.56963380019543,,0.0,0.6976442054465447,1.339476404713695,-6.94761882550492,12.267336631954546,6.5,3.076923076923077,8.533744131455398,1.0,30.378003840333022,42982000000.0,False,0.04122910348630349,0.03496328228777745,-0.010192402482934626
1403,3,fd32ba6ce155b8809f2066377e9eeccc,دقاضی,35.121167881085015,0.6554608945489759,,0.0,27.906137184115526,,,,,,0.7829523003104714,,0.0,0.9016622454422503,1.5219581238605355,-8.509234828496037,16.44073008887525,6.5,8.846153846153847,9.72711267605634,1.0,41.51399661108543,6023100000.0,False,0.007570295602019161,0.18889689978370638,1.245854361932229
1403,3,ff114137fa42e84bc683b7b9b4aecee9,کخاک,64.10372041084686,12.796632874459778,,0.0,2.564102564102564,,,,,,5.7069148936170215,,0.0,0.805953045493897,1.2473710969699479,-6.704347826086954,18.467618693228644,6.5,2.9230769230769225,10.0287558685446,1.0,37.91945148485017,6580000000.0,False,0.22546369652344156,0.5749836890670148,0.9371796066735025
1403,3,ff4c38ddc4d5a2b3d58437c8708fa6cb,بپیوند,33.97203950464815,23.506609211349282,,0.0,6.407766990291262,,,,,,17.664233576642335,,0.0,0.6325687680305827,2.0465135237930236,-15.833405790800803,15.93065382099127,6.5,0.6923076923076921,5.027582159624413,1.0,28.150543672923373,1644000000.0,False,-0.00723140495867669,0.07417355371900847,0.02768595041322275
1403,4,003aeed095825b208ba109440c6a6431,خراسان,-11.718074395618894,111.17863294981146,,0.0,-54.4462822936358,,,,,,1.2431918388519063,,0.0,0.6891226063963418,2.0409053560388193,0.9264458169567558,10.372449780204526,6.5,8.076923076923077,6.719483568075117,1.0,31.66885642520272,20703912104.0,False,0.27663421418637,0.5541724617524342,0.5328233657858137
1403,4,02d0fb54342c0cc17bc1062d7d88f448,زدشت,24.69512437668726,19.997024287820043,,0.0,66.98113207547169,,,,,,0.9870056497175141,,0.0,0.8711534892968633,2.2861237707896005,7.4746231928637386,18.290474387407368,6.5,8.615384615384617,8.161384976525822,1.0,41.56724397931781,2442600000.0,False,-0.11534058385804224,0.34172867773325843,0.23669147109330413
1403,4,03892a92148b9665bbb3713469826e29,سهگمت,33.351029013073386,7.367090869574522,,,,,,,,,,,0.0,0.8335606092983738,1.5422755928520728,14.65897522904649,13.44878913770392,6.5,0.0,10.594776995305166,1.0,30.543566133009087,,True,0.03299792838117832,0.6276582251722829,1.5669471103031318
1403,4,04234a593ca4912aa015a1dea99da781,زفکا,33.457487628126145,4.529401148478307,,0.0,63.15449256625727,,,,,,0.623217115689382,,0.0,0.9416085393580694,2.7103268183041718,13.492063492063489,18.91840482154917,6.5,9.153846153846153,8.437206572769954,1.0,43.00945754816527,3786000000.0,False,0.055308328035600374,0.6179275270184363,0.7622377622377636
1403,4,04596c0c8cd003eca6202bb9351d3d5d,آردینه,,44.03734038545628,,,,,,,,,1.1354166666666667,,0.0,0.7916252269097991,2.9253177807986237,-1.3843470678003067,12.726760563380282,6.5,8.384615384615385,5.92106807511737,0.52,17.43687089201878,3187200000.0,False,0.296562396374489,0.45219409749088246,0.5578644854647976
1403,4,067ba4a186448d230d296b1ce604d32f,شبهرن,24.549822313536684,28.120122717034192,,0.0,-28.26230575529236,,,,,,5.753753753753754,,0.0,0.8603177664865981,1.6289496181028182,-13.918591068379904,12.890685639660365,6.5,3.2307692307692304,8.389084507042254,1.0,31.01053937747185,29970000000.0,False,0.04196242171189968,0.5053235908141964,0.4427974947807931
1403,4,07589f30e28ffd0a131f9c4157417d59,قنیشا,43.559630677862216,-81.99459107120461,,-99.99997402597403,1026.873126873127,,,,,,15.063829787234043,,0.0,-0.27409773321286357,2.239154680962831,-8.919382504288166,12.948203569748436,6.5,1.1538461538461542,4.334213615023474,1.0,24.936263338618062,564000000.0,False,-0.08804143126177055,0.15489642184557528,0.03436911487759087
1403,4,0875c9b59ace28c22babd5e711c141da,سهرمز,44.47475763396069,6.627916269545309,,,,,,,,,,,0.0,0.7151843611987566,1.8638507951216328,21.60674981658106,14.816911541189585,6.5,0.0,8.76349765258216,1.0,30.080409193771743,,True,0.14539969834087474,0.8677224736048259,1.296380090497733
1403,4,0ab048f709cfd236a0ad7aaf542a990c,کنور,73.33888939262646,35.63414003088634,,0.0,81.83041722745625,,,,,,1.107698001480385,,0.0,0.7197030635584643,2.217038354403222,-9.357964869775891,24.328670207192,6.5,8.461538461538462,5.41050469483568,1.0,44.700713363566145,34507301444.0,False,-0.030070163715335996,0.045439358503173155,-0.2018042098229208
1403,4,0d19caedc1f47bfbce6949cc9fd54846,کفرا,28.769997807952596,13.339569543747377,,0.0,-54.96987951807228,,,,,,4.6923076923076925,,0.0,0.6882453580923611,2.2643378451042824,12.781350482315123,11.688829199076599,6.5,4.461538461538462,6.84419014084507,1.0,29.494557801460132,598000000.0,False,-0.15466856735566603,0.002138275124732969,-0.32074126870990727
1403,4,0e16759f2d662dc8bc10d9604b5c3a7e,تپسی,26.97639433438701,62.41496932515338,,0.0,170.59818846398167,,,,,,11.902222222222223,,0.0,0.705585406457534,1.9306366139786202,29.039511725024102,22.074610202954673,6.5,1.461538461538462,8.700117370892018,0.845,32.73214479990045,1662232725.0,False,0.09173512571570797,1.4077669902912602,1.03261140154344
1403,4,0e3a6731bfe6da581d9c4190b9b9707b,ددانا,,35.58476159981658,,35.858154939721295,16.407355021216407,,,,,,0.787363304981774,,0.0,0.7799861506615684,2.0909633208088505,-6.222865412445733,18.118769394677475,6.5,9.0,6.814553990610328,0.8799999999999999,35.58132457905326,13826400000.0,False,-0.07804232804232836,0.18628747795414502,0.024470899470898866
1403,4,100d9b545dbca1cb4b62ecc648741665,کلوند,41.045062558971914,39.58251470567908,,0.0,45.01192603314035,,,,,,4.295364238410596,,0.0,0.8409525748022918,2.0027412899174584,25.990675990675992,20.188641896933678,6.5,4.923076923076923,9.991197183098592,1.0,41.60291600310919,2905458950.0,False,-0.11224175146469295,0.2627197039777984,0.3126734505087878
1403,4,1025955b553ca1fa9153eea469591cb1,پرداخت,19.22949946015573,44.094694712380274,,0.0,-10.784313725490197,,,,,,39.714285714285715,,0.0,0.6897430758564045,2.1793862116589886,-15.422419845541778,13.17115064025912,6.5,0.3076923076923077,5.178110328638498,1.0,25.156953276589924,728000000.0,False,0.18622025456557867,0.47482014388489313,0.6115107913669073
