jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1403,12,6,152,0.023506653330177523,0.09087975396196499,0.06737310063178746,0.10089691993675291,0.07739026660657539
1403,12,12,152,0.38608740886233006,0.42173748727668503,0.03565007841435497,0.5587811338733278,0.17269372501099778
1404,1,3,151,0.00715665068628698,0.036707323183279204,0.029550672496992225,0.0767046449577002,0.06954799427141321
1404,1,6,151,0.10486325816323708,0.08249303096066117,-0.022370227202575907,0.13401737242485612,0.02915411426161904
1404,1,12,152,0.2492483728115229,0.17571185265918782,-0.07353652015233508,0.28922394170548255,0.039975568893959645
1404,2,3,152,-0.18458556366742324,-0.1698138086389016,0.014771755028521627,-0.12767861062581762,0.05690695304160562
1404,2,6,151,0.035645585807884246,0.07459253258361756,0.038946946775733314,0.07998266421098352,0.04433707840309927
1404,2,12,151,0.16485887629089266,0.2902435145964097,0.12538463830551702,0.24624907087166728,0.08139019458077462
1404,3,3,152,-0.15237652763236945,-0.14439396579463448,0.007982561837734964,-0.10816475785220972,0.044211769780159726
1404,3,6,152,0.2384496641332248,0.3079585897739447,0.06950892564071989,0.3166575602129866,0.07820789607976178
1404,3,12,151,0.8224366414996147,1.1857905621597864,0.3633539206601717,1.1460112160168054,0.32357457451719074
1404,4,3,151,0.0929318248486256,0.19065873966325017,0.09772691481462457,0.13562588610028756,0.04269406125166196
1404,4,6,152,0.45180317189131697,0.6660059111963952,0.21420273930507822,0.4790793024515505,0.027276130560233536
1404,4,12,151,1.1564320996170918,1.9799190565912643,0.8234869569741725,1.6118216389095081,0.4553895392924163
1404,5,3,153,0.2716615558662268,0.254195366357674,-0.017466189508552832,0.28771542823131807,0.01605387236509126
1404,5,6,154,0.41152613848702096,0.5282223459137244,0.11669620742670345,0.5241084116740508,0.11258227318702979
1404,5,12,154,1.86730111770899,2.28760919431529,0.4203080766062999,2.058513861250795,0.19121274354180517
1404,6,3,154,0.4589873596988071,0.49929892480284976,0.04031156510404266,0.5033304165811461,0.04434305688233897
1404,6,6,154,0.339161497254664,0.42305791469307275,0.08389641743840875,0.5197198292095047,0.18055833195484067
1404,6,12,154,1.8007970440655325,2.600295259808442,0.7994982157429094,2.412563625246766,0.6117665811812334
1404,7,3,154,0.3172743850879996,0.41445720896117405,0.09718282387317445,0.3657780090613774,0.04850362397337782
1404,7,6,154,0.11635260241292553,0.2547162208901635,0.13836361847723797,0.19040438138127108,0.07405177896834556
1404,7,12,154,1.3254822732307372,2.265991911612342,0.940509638381605,1.7765804949263593,0.4510982216956221
1404,8,3,154,0.10697386335566877,0.21626142856614017,0.1092875652104714,0.20638852529927446,0.09941466194360568
1404,8,6,153,0.10920366207237515,0.3087516693158224,0.19954800724344723,0.24859410360330517,0.13939044153093
1404,8,12,154,1.225534841284355,1.959011016676519,0.7334761753921639,1.8120564900506104,0.5865216487662555
1404,9,3,155,-0.08378081887305548,0.0354572414587944,0.11923806033184989,-0.03149335881394247,0.052287460059113014
1404,9,6,153,0.44140696626558173,0.6469027627911148,0.20549579652553307,0.6356921427874206,0.19428517652183885
1404,10,3,155,-0.15054873201327315,-0.1304447366895792,0.020103995323693946,-0.1270084251277785,0.02354030688549466
1404,10,6,154,0.4539284384306459,0.5967233397000252,0.14279490126937933,0.7622210659628479,0.308292627532202
1404,11,3,155,0.000978205628938827,0.02103609733349886,0.020057891704560033,0.031912303973858434,0.030934098344919607
1404,11,6,156,1.0024428582561784,0.8987538426387077,-0.10368901561747068,0.9577615528197784,-0.04468130543640003
1404,12,3,155,0.5619173434036611,0.7311155493832165,0.16919820597955548,0.6801347308211351,0.118217387417474
1404,12,6,157,1.0687562775069854,1.0091152257126883,-0.05964105179429713,1.0566933791236048,-0.012062898383380594
